Qty,Reference(s),Manufacturer Part Number,Link
5,"C1, C2, C3, C4, C6",CL05B104KB54PNC,
1,C5,CL21A106KAYNNNE,
1,D1,L130-5090001400001,
1,D2,VSML3710-GS18,
1,D3,VLMU3100-GS08,
1,D4,19-217/GHC-YR1S2/3T,
1,IC1,"PCA9536DP,118",https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/PCA9536DP118?qs=LOCUfHb8d9ubAwWIgMOyZQ%3D%3D
1,IC2,AS7341-DLGT,https://www.mouser.co.uk/ProductDetail/ams/AS7341-DLGT?qs=byeeYqUIh0Mv1a0BhdN%2FNw%3D%3D
1,IC3,SPX3819M5-L-1-8/TR,https://www.mouser.co.uk/ProductDetail/MaxLinear/SPX3819M5-L-1-8-TR?qs=S%2FCBhQS5rCpfutlZ3lVq4g%3D%3D
1,J1,320110032,https://www.mouser.co.uk/ProductDetail/Seeed-Studio/114020164?qs=7MVldsJ5Uayw%2FOfizq4F8w%3D%3D
1,J2,DO NOT FIT,
3,"Q1, Q2, Q3",BS250FTA,
2,"R1, R5",0402WGF1001TCE,
4,"R2, R3, R4, R6",0402WGF4701TCE,
